make,model,mpg,transmission,gears,drive,disp,cyl,class,sidi,aspiration,fuel,atvType,startStop
Chevrolet,Spark ACTIV,32.963,CVT,1,FWD,1.4,4,Subcompact,N,Natural,Regular,None,N
Lexus,RC F,19.238,Automatic,8,RWD,5,8,Subcompact,Y,Natural,Premium,None,N
Kia,Forte,30.3006,Manual,7,FWD,1.6,4,Midsize,Y,Turbo,Regular,None,N
Kia,Forte,27.6057,Manual,6,FWD,1.6,4,Midsize,Y,Turbo,Regular,None,N
Kia,Forte FE,34.7078,CVT,1,FWD,2,4,Midsize,N,Natural,Regular,None,N
Kia,Forte,31.0015,Manual,6,FWD,2,4,Midsize,N,Natural,Regular,None,N
Genesis,G80 AWD,19.6948,Automatic,8,AWD,3.3,6,Large,Y,Turbo,Premium,None,N
Genesis,G80 AWD,17.7991,Automatic,8,AWD,5,8,Large,Y,Natural,Premium,None,N
Genesis,G80 RWD,18.812,Automatic,8,RWD,5,8,Large,Y,Natural,Premium,None,N
Kia,Optima FE,28.7747,Automatic,6,FWD,2.4,4,Large,Y,Natural,Regular,None,N
Ford,Transit Connect Van FFV,25.1953,Automatic,8,FWD,2,4,SPV,Y,Natural,Regular,FFV,Y
Ford,Transit Connect Wagon LWB FWD,25.6715,Automatic,8,FWD,2,4,SPV,Y,Natural,Regular,None,Y
Hyundai,Santa Fe FWD,24.5725,Automatic,8,FWD,2.4,4,Sm SUV,Y,Natural,Regular,None,Y
Lexus,NX 300,24.6917,Automatic,6,FWD,2,4,Sm SUV,Y,Turbo,Premium,None,N
Mitsubishi,Outlander 2WD,27.3502,CVT,6,FWD,2.4,4,Sm SUV,N,Natural,Regular,None,N
Lexus,NX 300 AWD,24.4161,Automatic,6,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,N
Lexus,NX 300 AWD F Sport,23.6858,Automatic,6,AWD,2,4,Sm SUV,Y,Turbo,Premium,None,N
Ford,Explorer RWD,24.2206,Automatic,10,RWD,2.3,4,Std SUV,Y,Turbo,Regular,None,Y
Lincoln,Aviator RWD,21.0078,Automatic,10,RWD,3,6,Std SUV,Y,Turbo,Regular,None,Y
Ford,Explorer AWD,23.2015,Automatic,10,PT 4WD,2.3,4,Std SUV,Y,Turbo,Regular,None,Y
Lincoln,Aviator AWD,19.7885,Automatic,10,PT 4WD,3,6,Std SUV,Y,Turbo,Regular,None,Y
Volvo,S60 AWD,25.0491,Automatic,8,AWD,2,4,Compact,Y,Super+Turbo,Premium,None,Y
Volvo,V60 FWD,27.389,Automatic,8,FWD,2,4,Sm St Wagon,Y,Turbo,Premium,None,Y
Volvo,V60 CC AWD,24.9238,Automatic,8,AWD,2,4,Sm St Wagon,Y,Turbo,Premium,None,Y
